cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2023-32646,6.7,5.302,1.398,1.398,True,MEDIUM
CVE-2023-34064,4.6,5.9976,-1.3976,1.3976,True,MEDIUM
CVE-2022-30758,4.0,5.3967,-1.3967,1.3967,True,MEDIUM
CVE-2008-4995,6.9,5.505,1.395,1.395,True,MEDIUM
CVE-2022-28542,6.8,5.4052,1.3948,1.3948,True,MEDIUM
CVE-2025-4634,4.1,5.4948,-1.3948,1.3948,True,MEDIUM
CVE-2023-24449,4.3,5.6936,-1.3936,1.3936,True,MEDIUM
CVE-2019-4329,4.3,5.6929,-1.3929,1.3929,True,MEDIUM
CVE-2006-4542,6.8,5.4087,1.3913,1.3913,True,MEDIUM
CVE-2025-3793,4.2,5.5911,-1.3911,1.3911,True,MEDIUM
CVE-2023-0284,6.8,5.4091,1.3909,1.3909,True,MEDIUM
CVE-2020-29506,6.8,5.4091,1.3909,1.3909,True,MEDIUM
CVE-2025-32092,6.7,5.3094,1.3906,1.3906,True,MEDIUM
CVE-2014-0415,10.0,8.6103,1.3897,1.3897,True,CRITICAL
CVE-2020-9386,4.3,5.6896,-1.3896,1.3896,True,MEDIUM
CVE-2021-1266,4.3,5.6884,-1.3884,1.3884,True,MEDIUM
CVE-2014-3282,4.0,5.3873,-1.3873,1.3873,True,MEDIUM
CVE-2008-4987,6.9,5.5129,1.3871,1.3871,True,MEDIUM
CVE-2022-46825,4.0,5.3868,-1.3868,1.3868,True,MEDIUM
CVE-2023-6460,4.0,5.3854,-1.3854,1.3854,True,MEDIUM
CVE-2006-1921,6.4,5.0153,1.3847,1.3847,True,MEDIUM
CVE-2013-2090,9.3,7.9156,1.3844,1.3844,True,CRITICAL
CVE-2024-5022,4.4,5.7839,-1.3839,1.3839,True,MEDIUM
CVE-2021-39905,4.3,5.6837,-1.3837,1.3837,True,MEDIUM
CVE-2015-5623,4.0,5.3836,-1.3836,1.3836,True,MEDIUM
CVE-2003-0288,10.0,8.6181,1.3819,1.3819,True,CRITICAL
CVE-2018-7071,4.3,5.6818,-1.3818,1.3818,True,MEDIUM
CVE-2005-2425,10.0,8.6187,1.3813,1.3813,True,CRITICAL
CVE-2013-3783,4.0,5.3811,-1.3811,1.3811,True,MEDIUM
CVE-2024-13087,6.7,5.3207,1.3793,1.3793,True,MEDIUM
CVE-2021-25971,4.3,5.679,-1.379,1.379,True,MEDIUM
CVE-2022-29493,4.5,5.8788,-1.3788,1.3788,True,MEDIUM
CVE-2022-30739,4.0,5.3784,-1.3784,1.3784,True,MEDIUM
CVE-2022-46773,4.3,5.6784,-1.3784,1.3784,True,MEDIUM
CVE-2013-1481,10.0,8.6217,1.3783,1.3783,True,CRITICAL
CVE-2010-2973,6.9,5.5233,1.3767,1.3767,True,MEDIUM
CVE-2014-2559,6.8,5.4241,1.3759,1.3759,True,MEDIUM
CVE-2012-0076,4.0,5.3752,-1.3752,1.3752,True,MEDIUM
CVE-2007-3604,4.0,5.3745,-1.3745,1.3745,True,MEDIUM
CVE-2025-49543,4.3,5.6745,-1.3745,1.3745,True,MEDIUM
CVE-2025-49540,4.3,5.6745,-1.3745,1.3745,True,MEDIUM
CVE-2025-4866,6.3,4.9269,1.3731,1.3731,True,MEDIUM
CVE-2022-41766,4.3,5.6724,-1.3724,1.3724,True,MEDIUM
CVE-2011-3457,7.5,8.8716,-1.3716,1.3716,True,HIGH
CVE-2010-2227,6.4,5.0285,1.3715,1.3715,True,MEDIUM
CVE-2004-0694,6.8,5.4288,1.3712,1.3712,True,MEDIUM
CVE-2007-1097,10.0,8.6299,1.3701,1.3701,True,CRITICAL
CVE-2009-4818,6.8,5.431,1.369,1.369,True,MEDIUM
CVE-2022-30733,4.0,5.369,-1.369,1.369,True,MEDIUM
CVE-2025-9656,4.3,5.6684,-1.3684,1.3684,True,MEDIUM
CVE-2023-5776,4.3,5.6677,-1.3677,1.3677,True,MEDIUM
CVE-2018-21107,6.8,5.4334,1.3666,1.3666,True,MEDIUM
CVE-2022-32228,4.3,5.6666,-1.3666,1.3666,True,MEDIUM
CVE-2025-8792,4.3,5.6666,-1.3666,1.3666,True,MEDIUM
CVE-2021-25343,4.0,5.3662,-1.3662,1.3662,True,MEDIUM
CVE-2025-23765,4.3,5.6652,-1.3652,1.3652,True,MEDIUM
CVE-2015-0415,4.0,5.3647,-1.3647,1.3647,True,MEDIUM
CVE-2006-4706,6.8,5.4359,1.3641,1.3641,True,MEDIUM
CVE-2017-9277,4.2,5.561,-1.361,1.361,True,MEDIUM
CVE-2021-26099,4.4,5.7606,-1.3606,1.3606,True,MEDIUM
CVE-2012-0697,10.0,8.6414,1.3586,1.3586,True,CRITICAL
CVE-2010-4473,10.0,8.6416,1.3584,1.3584,True,CRITICAL
